DeviceID,TripID,EpochStartTime,StartDate,StartTime,EpochEndTime,EndDate,EndTime,TotalTripDistance,DistanceOver25MPH,DistanceOver55MPH,TripDuration,AverageSpeed,MaximumSpeed,BrakeCount,WiperActivated
13106,2082,1365684218600,2013-04-11 12:43:38.600,12:43:38.60,1365684548800,2013-04-11 12:49:08.800,12:49:08.80,2004.74926757813,2158.07208251953,NULL,-330200,6.06016532375555,12.4500799179077,918,NULL
10599,24,1365677246800,2013-04-11 10:47:26.800,10:47:26.80,1365678556200,2013-04-11 11:09:16.200,11:09:16.20,32942.05859375,322887.870574951,261424.196289063,-1309400,24.2939638362917,33.0403709411621,1059,NULL
10163,211,1365679176600,2013-04-11 11:19:36.600,11:19:36.60,1365679187800,2013-04-11 11:19:47.800,11:19:47.80,15.3129692077637,NULL,NULL,-11200,1.30221714304778,4.55833339691162,79,NULL
10570,387,1365690699400,2013-04-11 14:31:39.400,14:31:39.40,1365691137400,2013-04-11 14:38:57.400,14:38:57.40,3473.39990234375,28190.1982421875,NULL,-438000,7.00653202988299,22.03125,2890,NULL
10118,772,1365705784000,2013-04-11 18:43:04.000,18:43:04.00,1365706303400,2013-04-11 18:51:43.400,18:51:43.40,6430.37890625,53045.5854473114,NULL,-519400,12.3699395928792,23.8606796264648,1769,NULL
13109,1410,1365701422600,2013-04-11 17:30:22.600,17:30:22.60,1365703255800,2013-04-11 18:00:55.800,18:00:55.80,34355.2890625,313782.173339844,239339.360351563,-1833200,19.8478840299054,27.1853199005127,2821,NULL
10162,230,1365680638000,2013-04-11 11:43:58.000,11:43:58.00,1365681068800,2013-04-11 11:51:08.800,11:51:08.80,4473.51611328125,35816.3599090576,NULL,-430800,10.3359824788229,17.9638900756836,1375,NULL
10120,674,1365699529000,2013-04-11 16:58:49.000,16:58:49.00,1365699650600,2013-04-11 17:00:50.600,17:00:50.60,439.489013671875,3507.78784179688,NULL,-121600,3.45945349389432,18.2269992828369,1005,NULL
10568,138,1365708258600,2013-04-11 19:24:18.600,19:24:18.60,1365708281800,2013-04-11 19:24:41.800,19:24:41.80,205.04411315918,NULL,NULL,-23200,8.60001558988164,11.1631898880005,106,NULL
10595,56,1365716836000,2013-04-11 21:47:16.000,21:47:16.00,1365717390200,2013-04-11 21:56:30.200,21:56:30.20,8492.3720703125,72193.2374649048,5913.61962890625,-554200,11.7903088478684,25.6527786254883,1975,NULL
10154,266,1365714378600,2013-04-11 21:06:18.600,21:06:18.60,1365714845800,2013-04-11 21:14:05.800,21:14:05.80,4120.24755859375,30531.3855438232,NULL,-467200,8.813584218085,22.4722194671631,2379,NULL
13101,2262,1365677470200,2013-04-11 10:51:10.200,10:51:10.20,1365677842200,2013-04-11 10:57:22.200,10:57:22.20,2190.498046875,17149.2604980469,NULL,-372000,5.65610954069514,16.3237800598145,1475,NULL
10584,166,1365718609000,2013-04-11 22:16:49.000,22:16:49.00,1365718821200,2013-04-11 22:20:21.200,22:20:21.20,3021.27514648438,26769.9855499268,NULL,-212200,14.1829230870399,18.9166698455811,383,NULL
10188,78,1365718242000,2013-04-11 22:10:42.000,22:10:42.00,1365718403000,2013-04-11 22:13:23.000,22:13:23.00,1732.73779296875,11943.985534668,NULL,-161000,10.7567771876198,23.1141490936279,453,NULL
13103,2198,1365696301400,2013-04-11 16:05:01.400,16:05:01.40,1365697606400,2013-04-11 16:26:46.400,16:26:46.40,22355.009765625,200193.109375,165239.370605469,-1305000,17.1241477967243,27.213529586792,2670,NULL
10544,46,1365721746600,2013-04-11 23:09:06.600,23:09:06.60,1365722193400,2013-04-11 23:16:33.400,23:16:33.40,6688.66259765625,62259.5607147217,NULL,-446800,14.9570309226452,23.252779006958,720,NULL
10569,348,1365715998600,2013-04-11 21:33:18.600,21:33:18.60,1365716895000,2013-04-11 21:48:15.000,21:48:15.00,6665.23583984375,39341.8486633301,NULL,-896400,7.51759329551224,19.4111099243164,4564,NULL
13108,1288,1365683540000,2013-04-11 12:32:20.000,12:32:20.00,1365683608800,2013-04-11 12:33:28.800,12:33:28.80,1019.12109375,NULL,NULL,-68800,3.09867878483444,9.57247924804688,715,NULL
10178,183,1365712548800,2013-04-11 20:35:48.800,20:35:48.80,1365713501600,2013-04-11 20:51:41.600,20:51:41.60,10647.3447265625,96874.152885437,940.225830078125,-952800,11.0995782078251,24.9027805328369,3817,NULL
