Device,Trip,Time,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Range,RangeRate,Speed,TurnSignal,YawRate
10116,716,0,0,0,0,0,-0.26875,-0.38375,2,2,0,0,0,0,44.82133,-119.27,0,0,0,0,0,0.145
10116,716,10,0,10580.82,0,0,-0.25875,-0.43125,2,2,0,0,0,0,44.82143,-119.2694,0,0,0,0,0,0.025
10116,716,20,0,10580.82,0,0,-0.30625,-0.455,2,2,0,0,0,0,44.82283,-119.2636,0,0,0,0,0,0.025
10116,716,30,0,10580.9,0,0,-0.2425,-0.445,2,2,0,0,0,0,44.82649,-119.2487,0,0,0,0,0,0.09999999
10116,716,40,0,10580.9,0,0,-0.285,-0.38375,2,2,0,0,0,0,44.83015,-119.2339,0,0,0,0,0,0.045
10116,716,50,0,10584.13,0,0,-0.275,-0.40625,2,2,0,0,0,0,44.83026,-119.2332,0,0,0,0,0,0.08
10116,716,60,0,10584.13,0,0,-0.26125,-0.43125,2,2,0,0,0,0,44.83122,-119.2291,0,0,0,0,0,0.08
10116,716,70,0,10584.2,0,0,-0.33,-0.4125,2,2,0,0,0,0,44.85527,-119.1322,0,0,0,0,0,0.055
10116,716,80,0,10584.2,0,0,-0.2075,-0.43125,2,2,0,0,0,0,44.87845,-119.0388,0,0,0,0,0,0.075
10116,716,90,0,10602.15,0,0,-0.2725,-0.42,2,2,0,0,0,0,44.87854,-119.0382,0,0,0,0,0,0.175
10116,716,100,0,10602.15,0,0,-0.25375,-0.43625,2,2,0,0,0,0,44.87864,-119.0376,0,0,0,0,0,0.135
10116,716,110,0,10602.22,0,0,-0.30375,-0.3875,2,2,0,0,0,0,44.87873,-119.037,0,0,0,0,0,0.08
10116,716,120,0,10602.22,0,0,-0.2875,-0.45875,2,2,0,0,0,0,44.87882,-119.0364,0,0,0,0,0,0.055
10116,716,130,0,10602.29,0,0,-0.30375,-0.4325,2,2,0,0,0,0,44.87891,-119.0357,0,0,0,0,0,0.075
10116,716,140,0,10602.29,0,0,-0.30875,-0.42125,2,2,0,0,0,0,44.87796,-119.0393,0,0,0,0,0,0.06
10116,716,150,0,10602.36,0,0,-0.2875,-0.43875,2,2,0,0,0,0,44.84935,-119.1541,0,0,0,0,0,0.02
10116,716,160,0,10602.36,0,0,-0.2275,-0.46375,2,2,0,0,0,0,44.82292,-119.2601,0,0,0,0,0,0.045
10116,716,170,0,10581.43,0,0,-0.31625,-0.4125,2,2,0,0,0,0,44.82302,-119.2594,0,0,0,0,0,0.11
10116,716,180,0,10581.43,0,0,-0.30875,-0.43125,2,2,0,0,0,0,44.82312,-119.2588,0,0,0,0,0,0.05
