Device,Trip,Time,GpsTime,GpsWeek,GpsHeading,GpsSpeed,Latitude,Longitude,Altitude,NumberOfSats,Differential,FixMode,Pdop,GpsBytes,UtcTime,UtcWeek
10116,716,0,391932800,1735,0,0,44.83035,-119.2326,10584.2,0,0,0,99.99,4,391916800,1735
10116,716,21,391933000,1735,0,0,44.87845,-119.0389,10602.15,0,0,0,99.99,4,391917000,1735
10116,716,40,391933200,1735,0,0,44.87863,-119.0376,10602.22,0,0,0,99.99,4,391917200,1735
10116,716,61,391933400,1735,0,0,44.87881,-119.0364,10602.29,0,0,0,99.99,4,391917400,1735
10116,716,81,391933600,1735,0,0,44.879,-119.0351,10602.36,0,0,0,99.99,4,391917600,1735
10116,716,101,391933796,1735,0,0,44.82291,-119.2601,10581.43,0,0,0,99.99,4,391917796,1735
10116,716,121,391933996,1735,0,0,44.82311,-119.2589,10581.5,0,0,0,99.99,4,391917996,1735
10116,716,141,391934200,1735,0,0,44.82331,-119.2576,10581.57,0,0,0,99.99,4,391918200,1735
10116,716,161,391934400,1735,0,0,44.82351,-119.2564,10581.65,0,0,0,99.99,4,391918400,1735
10116,716,181,391934600,1735,0,0,44.82371,-119.2551,10581.72,0,0,0,99.99,4,391918600,1735
10116,716,201,391934800,1735,0,0,44.82391,-119.2539,10581.8,0,0,0,99.99,4,391918800,1735
10116,716,221,391935000,1735,0,0,44.82411,-119.2526,10581.87,0,0,0,99.99,4,391919000,1735
10116,716,241,391935200,1735,0,0,44.82431,-119.2514,10581.94,0,0,0,99.99,4,391919200,1735
10116,716,261,391935404,1735,0,0,44.88064,-119.0239,10602.97,0,0,0,99.99,4,391919404,1735
10116,716,280,391935600,1735,0,0,44.93474,-118.8031,10623.16,0,0,0,99.99,4,391919600,1735
10116,716,300,391935800,1735,0,0,44.93491,-118.8019,10623.22,0,0,0,99.99,4,391919800,1735
10116,716,320,391936000,1735,0,0,44.93507,-118.8006,10623.28,0,0,0,99.99,4,391920000,1735
10116,716,340,391936200,1735,0,0,44.88137,-119.0189,10603.24,0,0,0,99.99,4,391920200,1735
10116,716,360,391936400,1735,0,0,44.88155,-119.0177,10603.31,0,0,0,99.99,4,391920400,1735
