Device,Trip,Time,GpsValidWsu,GpsTimeWsu,LatitudeWsu,LongitudeWsu,AltitudeWsu,GpsHeadingWsu,GpsSpeedWsu,HdopWsu,PdopWsu,FixQualityWsu,GpsCoastingWsu,ValidCanWsu,YawRateWsu,SpeedWsu,TurnSngRWsu,TurnSngLWsu,BrakeAbsTcsWsu,AxWsu,PrndlWsu,VsaActiveWsu,HeadlampWsu,WiperWsu,ThrottleWsu,SteerWsu
10116,716,9780,1,1365685117400,42.24915,-83.61466,182.8,251.91,0.3001111,0.8,1.4,1,0,1,0,0,0,0,64,0,5,0,0,0,0,0
10116,716,9790,1,1365685117500,42.24915,-83.61466,182.8,251.91,0.3001111,0.8,1.4,1,0,1,-1.132428,1.0804,0,0,64,-0.1033094,5,0,0,0,0,0
10116,716,9800,1,1365685117600,42.24915,-83.61466,182.8,251.91,0.356125,0.8,1.4,1,0,1,-1.132428,1.0804,0,0,64,-0.1033094,5,0,0,0,0,0
10116,716,9810,1,1365685117700,42.24915,-83.61466,182.8,251.91,0.356125,0.8,1.4,1,0,1,-0.7044863,1.28205,0,0,64,0.07484195,5,0,0,0,0,0
10116,716,9820,1,1365685117800,42.24915,-83.61466,182.7,251.91,0.4738055,0.8,1.4,1,0,1,-0.7044863,1.28205,0,0,64,0.07484195,5,0,0,0,0,0
10116,716,9830,1,1365685117900,42.24915,-83.61466,182.7,251.91,0.4738055,0.8,1.4,1,0,1,-0.4252257,1.7057,0,0,0,0.2690789,5,0,0,0,0,0
10116,716,9840,1,1365685118000,42.24915,-83.61466,182.7,251.91,0.6896389,0.8,1.4,1,0,1,-0.4252257,1.7057,0,0,0,0.2690789,5,0,0,0,0,0
10116,716,9850,1,1365685118100,42.24915,-83.61466,182.7,251.91,0.6896389,0.8,1.4,1,0,1,-0.2511109,2.4827,0,0,0,0.5584264,5,0,0,0,0,0
10116,716,9860,1,1365685118200,42.24915,-83.61466,182.8,250.63,1.001569,0.8,1.4,1,0,1,-0.2511109,2.4827,0,0,0,0.5584264,5,0,0,0,0,0
10116,716,9870,1,1365685118300,42.24915,-83.61467,182.8,250.4648,1.094142,0.8,1.4,1,0,1,-1.652493,3.60565,0,0,0,0.9257222,5,0,0,0,0,0
10116,716,9880,1,1365685118400,42.24915,-83.61467,183,251.94,1.312986,0.8,1.4,1,0,1,-1.652493,3.93891,0,0,0,0.9257222,5,0,0,0,0,0
10116,716,9890,1,1365685118500,42.24915,-83.61467,183,251.9307,1.432349,0.8,1.4,1,0,1,-0.09292348,4.72675,0,0,0,1.193631,5,0,0,0,0,0
10116,716,9900,1,1365685118600,42.24915,-83.61467,183.3,253.31,1.573014,0.8,1.4,1,0,1,-0.09292348,5.156457,0,0,0,1.193631,5,0,0,0,0,0
10116,716,9910,1,1365685118700,42.24915,-83.61467,183.3,253.5055,1.700941,0.8,1.4,1,0,1,1.954856,5.66285,0,0,0,1.279268,5,0,0,0,0,0
10116,716,9920,1,1365685118800,42.24915,-83.61467,183.6,253.01,1.91475,0.8,1.4,1,0,1,1.684252,6.8931,0,0,0,1.429244,5,0,0,0,0,0
10116,716,9930,1,1365685118800,42.24915,-83.61467,183.6,253.01,1.91475,0.8,1.4,1,0,1,1.684252,6.8931,0,0,0,1.429244,5,0,0,0,0,0
10116,716,9940,1,1365685119000,42.24915,-83.61467,183.9,253.91,2.28475,0.8,1.4,1,0,1,1.684252,7.407628,0,0,0,1.429244,5,0,0,0,0,0
10116,716,9950,1,1365685119100,42.24915,-83.61468,183.9,254.1375,2.443667,0.8,1.4,1,0,1,2.275399,8.2251,0,0,0,1.589169,5,0,0,0,0,0
10116,716,9960,1,1365685119200,42.24914,-83.61468,184.2,252.67,2.677875,0.8,1.4,1,0,1,2.275399,8.797201,0,0,0,1.589169,5,0,0,0,0,0
