MovementId,SPATID,CurrentState,MinTimeremaining,MaxTimeremaining,YellowState,YellowTime,PedestrianDetect,VehiclePedestrianCount,LaneSet
1987854605,1749781167,0x40,344,1201,NULL,0,0,0,NULL
1987854608,1749781188,0x40,164,520,NULL,0,0,0,NULL
1987854617,1749781172,0x01,23,23,NULL,0,0,0,NULL
1987854620,1749781174,0x01,298,994,NULL,0,0,0,NULL
1987854622,1749781162,0x01,188,695,NULL,0,0,0,NULL
1987854635,1749781167,0x01,183,690,NULL,0,0,0,NULL
1987854645,1749781188,0x40,446,1201,NULL,0,0,0,NULL
1987854660,1749781172,0x01,119,199,NULL,0,0,0,NULL
1987854662,1749781174,0x01,21,21,NULL,0,0,0,NULL
1987854668,1749781162,0x01,309,1005,NULL,0,0,0,NULL
1987854677,1749781167,0x01,304,1000,NULL,0,0,0,NULL
1987854689,1749781174,0x01,117,197,NULL,0,0,0,NULL
1987854693,1749781188,0x01,164,671,NULL,0,0,0,NULL
1987854696,1749781162,0x01,32,32,NULL,0,0,0,NULL
1987854729,1749781188,0x01,285,981,NULL,0,0,0,NULL
1987854735,1749781167,0x01,27,27,NULL,0,0,0,NULL
1987854738,1749781162,0x01,128,208,NULL,0,0,0,NULL
1987854787,1749781167,0x01,123,203,NULL,0,0,0,NULL
1987854788,1749781188,0x01,8,8,NULL,0,0,0,NULL
