MovementId,SPATID,CurrentState,MinTimeremaining,MaxTimeremaining,YellowState,YellowTime,PedestrianDetect,VehiclePedestrianCount,LaneSet
2029965778,1780428764,0x40,1201,1201,NULL,0,0,0,8,2
2029965783,1780428748,0x01,1201,1201,NULL,0,0,0,12,0
2029965795,1780428809,0x01,235,235,0x02,36,0,0,1,1,5,4
2029965798,1780428764,0x40,1201,1201,NULL,0,0,0,9,2
2029965802,1780428748,0x01,1201,1201,NULL,0,0,0,13,0
2029965814,1780428764,0x03,98,98,0x02,14,0,0,10,0
2029965824,1780428809,0x01,55,55,0x02,36,0,0,2,1
2029965831,1780428764,0x02,94,94,NULL,0,0,0,11,0
2029965842,1780428809,0x04,1201,1201,NULL,0,0,0,3,1
2030373137,1780569693,0x40,606,676,NULL,0,0,0,9,2
2030373186,1780569693,0x01,96,166,NULL,0,0,0,10,0,11,0
2030373216,1780569693,0x01,606,676,NULL,0,0,0,12,0
2030373238,1780569693,0x01,606,952,NULL,0,0,0,13,0
2030373338,1780569880,0x04,96,145,NULL,0,0,0,1,1,2,1,5,4
2030373381,1780569880,0x01,40,89,0x02,31,0,0,3,1
2030373400,1780569880,0x04,585,634,NULL,0,0,0,4,1
2030373423,1780569880,0x40,405,454,NULL,0,0,0,6,2
2030373435,1780569880,0x40,731,1106,NULL,0,0,0,7,2
2030373446,1780569880,0x10,40,89,0x20,31,0,0,8,2
