RxDevice,FileId,TxDevice,StartTime,Endtime,Value
82,4373858,82,292762913370720,292762913972710,31
82,4373858,82,292762914073699,292762914073699,28
82,4373858,82,292762914173646,292762914173646,26
82,4373858,82,292762914274695,292762914274695,24
82,4373858,82,292762914374701,292762915078863,23
82,4373858,82,292762915179700,292762915179700,24
82,4373858,82,292762915279712,292762915279712,27
82,4373858,82,292762915380710,292762918094605,30
82,4373858,82,292762918195711,292762918195711,31
82,4373858,82,292762918295610,292762918906642,32
82,4373858,82,292762919000420,292762920707529,33
82,4373858,82,292762920894727,292762923519590,32
82,4373858,82,292762923620554,292762923620554,30
82,4373858,82,292762923720597,292762929203549,32
82,4373858,82,292762929303547,292762929303547,31
82,4373858,82,292762929405565,292762929405565,29
82,4373858,82,292762929504534,292762936532552,28
82,4373858,82,292762936632746,292762936632746,27
82,4373858,82,292762936732602,292762937133591,26
