RxDevice,FileId,TxDevice,StartTime,Endtime,Value
15,4289853,15,292786095583573,292786095583573,0
15,4289853,15,292786095683546,292786095683546,3
15,4289853,15,292786095783549,292786095983558,2
15,4289853,15,292786096083585,292786244683981,1
15,4289853,15,292786244783967,292786244983967,3
15,4289853,15,292786245083968,292786245283977,0
40,4320903,40,292737890575606,292737902475558,0
40,4320903,40,292737902575500,292738042676499,2
40,4320903,40,292738042776690,292738050476506,0
40,4320903,40,292738050576508,292738066676511,2
40,4320903,40,292738066776451,292738070876434,0
32,4310847,32,292801374616351,292801374616351,0
34,4314241,34,292770030621942,292770034222116,0
34,4314241,34,292770034321967,292770116021999,2
34,4314241,34,292770116121999,292770155322069,0
34,4314241,34,292770155423493,292770190222100,2
34,4314241,34,292770190322099,292770226322065,0
34,4314241,34,292770226422060,292770458022304,2
34,4314241,34,292770458122301,292770493422349,0
