RxDevice,FileId,TxDevice,Gentime,CertId,TxRandom,FrameOffset,FrameSize,BsmPIRelOffset,BsmPIIRelOffset,BsmPIIIRelOffset,GenTimeRelOffset,PsIdByte
10115,10,10115,278090988288017,-4295421735233934037,8224,557665,259,68,108,108,185,32
10115,10,10115,278090988388037,-4295421735233934037,8224,557944,259,68,108,108,185,32
10115,10,10115,278090988487958,-4295421735233934037,8224,558502,114,68,108,108,185,32
10115,10,10115,278090988587984,-1316342150176075188,8224,558636,330,139,179,179,256,32
10115,10,10115,278090988688010,-4295421735233934037,8224,558986,259,68,108,108,185,32
10115,10,10115,278090988787943,-4295421735233934037,8224,559265,258,68,108,108,184,32
10115,10,10115,278090988887957,-4295421735233934037,8224,559543,258,68,108,108,184,32
10115,10,10115,278090988988018,-4295421735233934037,8224,559821,259,68,108,108,185,32
10115,10,10115,278090989087945,-1316342150176075188,8224,560100,330,139,179,179,256,32
10115,10,10115,278090989187939,-4295421735233934037,8224,560450,259,68,108,108,185,32
10115,10,10115,278090989287936,-4295421735233934037,8224,560729,259,68,108,108,185,32
10115,10,10115,278090989387951,-4295421735233934037,8224,561008,259,68,108,108,185,32
10115,10,10115,278090989488005,-4295421735233934037,8224,561287,259,68,108,108,185,32
10115,10,10115,278090989588020,-1316342150176075188,8224,561566,330,139,179,179,256,32
10115,10,10115,278090989688046,-4295421735233934037,8224,561916,259,68,108,108,185,32
10115,10,10115,278090989787983,-4295421735233934037,8224,562195,259,68,108,108,185,32
10115,10,10115,278090989887948,-4295421735233934037,8224,562474,259,68,108,108,185,32
10115,10,10115,278090989987987,-4295421735233934037,8224,562753,259,68,108,108,185,32
10115,10,10115,278090990087954,-1316342150176075188,8224,563032,330,139,179,179,256,32
