Device,Trip,Time,RvDevice,LatitudeRv,LongitudeRv,ElevationRv,HeadingRv,YawRateRv,AxRv,SpeedRv,BrakeRv,GpsTimeRv,GpsCoastRv,ReceivedGpsTimeRv
10592,70,14880,10106,42.2469914,-83.7654293,244.6,135.4,0,-0.38,26.66,0,0,0,1365623686101
10592,70,14890,10106,42.2469914,-83.7654293,244.6,135.4,0,-0.38,26.66,0,0,0,1365623686101
10592,70,14900,10106,42.2469914,-83.7654293,244.6,135.4,0,-0.38,26.66,0,0,0,1365623686101
10592,70,14850,10106,42.2470425,-83.7654968,244.5,135.4,0,-0.42,26.74,0,0,0,1365623685797
10592,70,14860,10106,42.2470425,-83.7654968,244.5,135.4,0,-0.42,26.74,0,0,0,1365623685797
10592,70,14870,10106,42.2470425,-83.7654968,244.5,135.4,0,-0.42,26.74,0,0,0,1365623685797
10125,314,5400,10106,42.2637896,-83.7638115,258.9,23.4,15.79,1.63,13.968,0,1365118070900,0,1365118070997
10125,314,5410,10106,42.2637896,-83.7638115,258.9,23.4,15.79,1.63,13.968,0,1365118070900,0,1365118070997
10125,314,5420,10106,42.2637926,-83.7638075,258.9,26.6375,18.86,1.37,14.04,0,1365118071000,0,1365118071119
10125,314,5430,10106,42.2637926,-83.7638075,258.9,26.6375,18.86,1.37,14.04,0,1365118071000,0,1365118071119
10125,314,5440,10106,42.2638029,-83.7637971,258.8,33.275,20.61,1.52,16.056,0,1365118071300,0,1365118071395
10125,314,5450,10106,42.2638029,-83.7637971,258.8,33.275,20.61,1.52,16.056,0,1365118071300,0,1365118071395
10125,314,5460,10106,42.2638029,-83.7637971,258.8,33.275,20.61,1.52,16.056,0,1365118071300,0,1365118071395
10125,314,7120,10106,42.2639341,-83.761017,249.2,87.3375,0.57,-0.39,58.608,0,1365118088100,0,1365118088204
10125,314,7130,10106,42.2639341,-83.761017,249.2,87.3375,0.57,-0.39,58.608,0,1365118088100,0,1365118088204
10125,314,7110,10106,42.2639334,-83.7610367,249.1,87.2875,0.57,-0.39,58.752,0,1365118088000,0,1365118088097
10152,43,77700,10106,42.2716693,-83.7479059,215,88.4125,-0.97,-0.88,35.28,0,1366111972800,0,1366111972954
10152,43,77710,10106,42.2716693,-83.7479059,215,88.4125,-0.97,-0.88,35.28,0,1366111972800,0,1366111972954
10152,43,77720,10106,42.2716693,-83.7479059,215,88.4125,-0.97,-0.88,35.28,0,1366111972800,0,1366111972954
