RxDevice,FileId,TxDevice,StartTime,Endtime,Value
1127,194291,-9681,276241476160264,276241776060440,255
1128,17513,-18420,276462576171083,276462876090536,255
1128,17513,-10047,276464976140637,276465276072572,255
1128,17517,24780,276638076105560,276638376038216,255
1128,17537,2516,277317876180932,277318176081460,255
1128,17545,-7515,277590876184139,277591176084261,255
1128,17557,4032,277840476121047,277840776021172,255
1128,17557,24917,277840176120980,277840476021027,255
1128,17569,-27833,278023776155386,278024076055098,255
1128,17569,-26863,278023476155159,278023776055377,255
1128,17571,-7727,278110776133500,278111076033409,255
1128,17572,-29694,278163576173381,278163876072903,255
1133,52435,-30004,277082676105299,277082976004901,255
1133,52484,4008,278025576142527,278025876041974,255
1138,5084,-28877,276175476117401,276175776049107,255
1138,5087,12349,276208176167440,276208476082796,255
1138,5087,32761,276207576167750,276207876067719,255
1138,5089,-24468,276261876188769,276262176089047,255
1138,5109,-21736,276522576124107,276522876024026,255
