RxDevice,FileId,TxDevice,StartTime,Endtime,Value
11,14435,11,276811583822236,276811583822236,3
11,14435,11,276811583922268,276811584122232,2
11,14435,11,276811584222273,276811655722322,1
11,14435,11,276811655822363,276811655922322,2
11,14435,11,276811656022324,276811656422365,0
14,20122,14,277994269497590,277994269497590,3
14,20122,14,277994269597589,277994291197765,1
14,20122,14,277994291297640,277994291297640,2
14,20122,14,277994291397650,277994291397650,0
14,20122,14,277994291497639,277994318397846,2
14,20122,14,277994318497826,277994333097839,0
14,20154,14,278361601620263,278361645621232,0
15,20532,15,276883623713290,276883728213486,1
15,20532,15,276883728313488,276884481913209,2
15,20532,15,276884482013208,276884482013208,3
15,20532,15,276884482113211,276884482413209,2
15,20532,15,276884482513252,276884504113338,1
15,20532,15,276884504213436,276884504213436,3
15,20532,15,276884504313286,276884504413290,0
