DeviceID,TripID,EpochStartTime,StartDate,StartTime,EpochEndTime,EndDate,EndTime,TotalTripDistance (km),DistanceOver25MPH (km),DistanceOver55MPH (km),TripDuration (s),AverageSpeed (m/s),MaximumSpeed (m/s),BrakeCount,WiperActivated
10106,247,1364905690.9,2013-04-02,08:28:10,1364906107.0,2013-04-02,08:35:07,5.378894,5.251629,0.000000,416.100000,12.926927,23.133921,3,No
10106,248,1364912826.9,2013-04-02,10:27:06,1364912870.3,2013-04-02,10:27:50,0.300029,0.208082,0.000000,43.400000,6.913109,18.216619,1,No
10106,255,1365089461.9,2013-04-04,11:31:01,1365089507.2,2013-04-04,11:31:47,0.801935,0.801935,0.000000,45.300000,17.702754,19.974951,0,No
10106,256,1365090599.9,2013-04-04,11:49:59,1365091067.2,2013-04-04,11:57:47,5.318003,4.840645,0.000000,467.300000,11.380277,20.491171,7,No
10106,257,1365091849.9,2013-04-04,12:10:49,1365092021.3,2013-04-04,12:13:41,2.145134,1.923499,0.946566,171.400000,12.515369,32.665009,3,No
10106,258,1365093909.9,2013-04-04,12:45:09,1365094415.6,2013-04-04,12:53:35,5.527185,4.591906,0.000000,505.700000,10.929770,20.125160,15,No
10106,259,1365109480.9,2013-04-04,17:04:40,1365109500.3,2013-04-04,17:05:00,0.200981,0.050055,0.000000,19.400000,10.359859,12.495030,0,No
10106,260,1365110127.9,2013-04-04,17:15:27,1365110541.4,2013-04-04,17:22:21,2.336443,0.724495,0.000000,413.500000,5.650405,14.899600,15,No
10106,266,1365115450.9,2013-04-04,18:44:10,1365115688.8,2013-04-04,18:48:08,2.721438,2.293647,0.000000,237.900000,11.439421,22.524611,7,No
10106,274,1365188147.9,2013-04-05,14:55:47,1365188226.2,2013-04-05,14:57:06,1.095090,1.045558,0.000000,78.300000,13.985820,17.417690,0,No
10106,276,1365194907.9,2013-04-05,16:48:27,1365194922.9,2013-04-05,16:48:42,0.232837,0.232837,0.000000,15.000000,15.522445,15.507070,0,No
10106,281,1365420443.9,2013-04-08,07:27:23,1365421072.0,2013-04-08,07:37:52,5.904560,4.955510,0.000000,628.100000,9.400669,17.288401,12,No
10106,283,1365450995.0,2013-04-08,15:56:35,1365451149.7,2013-04-08,15:59:09,1.747985,1.443209,0.000000,154.700000,11.299192,17.150789,3,No
10106,284,1365593087.8,2013-04-10,07:24:47,1365593738.3,2013-04-10,07:35:38,6.442059,5.633113,0.000000,650.500000,9.903243,18.571880,12,No
10116,671,1364828048.9,2013-04-01,10:54:08,1364828794.3,2013-04-01,11:06:34,13.005757,12.149933,8.432955,745.400000,17.448024,36.154861,8,No
10116,673,1364872579.0,2013-04-01,23:16:19,1364872610.6,2013-04-01,23:16:50,0.488665,0.474534,0.000000,31.600000,15.464069,17.507811,0,No
10116,683,1365013919.9,2013-04-03,14:31:59,1365014433.9,2013-04-03,14:40:33,5.302364,4.732113,0.000000,514.000000,10.315884,22.599480,7,No
10116,684,1365045402.9,2013-04-03,23:16:42,1365045627.8,2013-04-03,23:20:27,3.366565,3.262597,0.000000,224.900000,14.969165,21.832621,1,No
10116,689,1365100347.9,2013-04-04,14:32:27,1365100659.4,2013-04-04,14:37:39,3.597621,3.340060,0.000000,311.500000,11.549345,22.334370,4,No
