USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
725374,94889,201210010053,***,0,***,55,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,49,43,1014.7,29.96,984.1,***,***,0.00,*****,*****,*****,**,
725374,94889,201210010153,020,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,48,42,1014.6,29.96,984.1,***,***,0.00,*****,*****,*****,**,
725374,94889,201210010253,***,0,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,41,39,1014.9,29.96,984.1,***,***,0.00,*****,*****,*****,**,
725374,94889,201210010353,040,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,44,41,1014.0,29.94,983.5,***,***,0.00,*****,*****,*****,**,
725374,94889,201210010453,***,0,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,42,40,1014.3,29.95,983.8,***,***,0.00,*****,*****,*****,**,
725374,94889,201210010459,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,67,***,*****,*****,0.00,*****,**,
725374,94889,201210010515,***,0,***,722,CLR,*,*,*,1.8,**,**,**,**,10,**,**,**,*,39,37,******,29.95,983.8,***,***,*****,*****,*****,*****,**,
725374,94889,201210010520,***,0,***,722,CLR,*,*,*,0.8,**,**,**,**,10,**,**,**,*,37,36,******,29.95,983.8,***,***,*****,*****,*****,*****,**,
725374,94889,201210010530,***,0,***,722,CLR,*,*,*,2.0,**,**,**,**,10,**,**,**,*,43,39,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010539,***,0,***,722,CLR,*,*,*,1.3,**,**,**,**,10,**,**,**,*,37,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010553,***,0,***,722,CLR,*,*,*,0.5,**,**,**,**,30,**,**,**,*,39,37,1014.1,29.94,983.5,50,37,0.00,*****,*****,*****,**,
725374,94889,201210010621,***,0,***,722,CLR,*,*,*,1.5,**,**,**,**,10,**,**,**,*,41,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010624,***,0,***,722,CLR,*,*,*,3.0,**,**,**,**,10,**,**,**,*,39,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010634,***,0,***,722,CLR,*,*,*,1.0,**,**,**,**,10,**,**,**,*,36,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010641,230,3,***,722,CLR,*,*,*,0.3,**,**,**,**,30,**,**,**,*,36,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010653,***,0,***,722,CLR,*,*,*,1.0,**,**,**,**,10,**,**,**,*,38,35,1014.1,29.94,983.5,***,***,0.00,*****,*****,*****,**,
725374,94889,201210010655,***,0,***,722,CLR,*,*,*,2.5,**,**,**,**,10,**,**,**,*,37,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010702,***,0,***,722,CLR,*,*,*,4.0,**,**,**,**,10,**,**,**,*,39,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
725374,94889,201210010704,***,0,***,722,CLR,*,*,*,1.8,**,**,**,**,10,**,**,**,*,39,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
