RxDevice,FileId,TxDevice,StartTime,Endtime,Value
11,4247060,11,292784986346466,292784991346463,2
11,4247060,11,292784991446455,292784998946466,242
11,4247060,11,292784999046467,292785009546489,2
11,4247060,11,292785009646480,292785012846534,242
11,4247060,11,292785012946481,292785019946492,2
11,4247060,11,292785020046492,292785023546496,242
11,4247060,11,292785023646496,292785030346517,2
11,4247060,11,292785030446511,292785034146521,242
11,4247060,11,292785034246514,292785038545494,2
11,4247060,11,292785038646538,292785044745507,242
11,4247060,11,292785044845510,292785082645594,2
11,4247060,11,292785082745601,292785093145601,242
11,4247060,11,292785093245594,292785109145616,2
11,4247060,11,292785109245621,292785114045621,242
11,4247060,11,292785114145623,292785121245642,2
11,4247060,11,292785121345624,292785179745672,242
11,4247060,11,292785179845663,292785234345709,2
11,4247060,11,292785234445708,292785246345772,242
11,4247060,11,292785246445723,292785250945734,2
