RxDevice,FileId,TxDevice,Gentime,CertId,TxRandom,FrameOffset,FrameSize,BsmPIRelOffset,BsmPIIRelOffset,BsmPIIIRelOffset,GenTimeRelOffset,PsIdByte
10106,295,10106,292724337727859,-5098246422453840785,28691,150620,300,70,110,110,226,32
10106,295,10106,292724337827792,-5098246422453840785,28691,150940,300,70,110,110,226,32
10106,295,10106,292724337927856,5583823804118366699,28691,151260,372,141,181,181,298,32
10106,295,10106,292724338027842,-5098246422453840785,28691,151652,301,70,110,110,227,32
10106,295,10106,292724338127859,-5098246422453840785,28691,151973,301,70,110,110,227,32
10106,295,10106,292724338227793,-5098246422453840785,28691,152294,301,70,110,110,227,32
10106,295,10106,292724338328038,-5098246422453840785,28691,152615,301,70,110,110,227,32
10106,295,10106,292724338427810,5583823804118366699,28691,152936,372,141,181,181,298,32
10106,295,10106,292724338528036,-5098246422453840785,28691,153328,301,70,110,110,227,32
10106,295,10106,292724338628031,-5098246422453840785,28691,153649,301,70,110,110,227,32
10106,295,10106,292724338728122,-5098246422453840785,28691,153970,301,70,110,110,227,32
10106,295,10106,292724338827778,-5098246422453840785,28691,154291,301,70,110,110,227,32
10106,295,10106,292724338928016,5583823804118366699,28691,154612,372,141,181,181,298,32
10106,295,10106,292724339027826,-5098246422453840785,28691,155004,301,70,110,110,227,32
10106,295,10106,292724339127803,-5098246422453840785,28691,155325,301,70,110,110,227,32
10106,295,10106,292724339227843,-5098246422453840785,28691,155646,301,70,110,110,227,32
10106,295,10106,292724339327839,-5098246422453840785,28691,155967,301,70,110,110,227,32
10106,295,10106,292724339427806,5583823804118366699,28691,156288,372,141,181,181,298,32
10106,295,10106,292724339527838,-5098246422453840785,28691,156680,301,70,110,110,227,32
