Device,Trip,Time,RvDevice,LatitudeRv,LongitudeRv,ElevationRv,HeadingRv,YawRateRv,AxRv,SpeedRv,BrakeRv,GpsTimeRv,GpsCoastRv,ReceivedGpsTimeRv
10132,517,31250,10118,42.274845,-83.735835,229.6,167.05,0,0,0.072,1,1365713191900,0,1365713192001
10132,517,31260,10118,42.274845,-83.735835,229.6,167.05,0,0,0.072,1,1365713191900,0,1365713192001
10132,517,31280,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713192100,0,1365713192201
10132,517,31300,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713192300,0,1365713192401
10132,517,31320,10118,42.274845,-83.735835,229.6,167.05,0,0,0.216,1,1365713192500,0,1365713192605
10132,517,31340,10118,42.274845,-83.735835,229.6,167.05,0,0,0.216,1,1365713192700,0,1365713192801
10132,517,31360,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713192900,0,1365713193001
10132,517,31470,10118,42.274845,-83.735835,229.6,167.05,0,0,0.216,1,1365713194100,0,1365713194201
10132,517,31480,10118,42.274845,-83.735835,229.6,167.05,0,0,0.216,1,1365713194100,0,1365713194201
10132,517,31500,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713194300,0,1365713194401
10132,517,31520,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713194500,0,1365713194605
10132,517,31540,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713194700,0,1365713194801
10132,517,31580,10118,42.274845,-83.735835,229.6,167.05,0,0,0.216,1,1365713195100,0,1365713195202
10132,517,31600,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713195300,0,1365713195401
10132,517,31620,10118,42.274845,-83.735835,229.6,167.05,0,0,0.216,1,1365713195500,0,1365713195604
10132,517,31640,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713195700,0,1365713195801
10132,517,31680,10118,42.274845,-83.735835,229.6,167.05,0,0,0.144,1,1365713196100,0,1365713196201
10132,517,31700,10118,42.274845,-83.735835,229.6,167.05,0,0,0.072,1,1365713196300,0,1365713196402
10132,517,31800,10118,42.274845,-83.735835,229.6,167.05,0,0,0.216,1,1365713197300,0,1365713197401
