PacketId,PCAPFileId,PacketNumber,PacketLocation,PacketDataLength,PacketTimestamp,TimestampMicroseconds,IncludedLength,OriginalLength,SourceIPAddress,EtherType,WSMPVersion,Channel,DataRate,PowerUsed,PSID,EpochTime
1740175406,588516,13592,4374869,257,2013-04-11,01:03:29.000,961794,257,257,0xAE9716882F9D,35036,2,172,12,21,1365656609
1740177476,588516,13883,4469607,263,2013-04-11,01:03:44.000,560567,263,263,0xAE9716882F9D,35036,2,172,12,21,1365656624
1740187004,588516,15056,4861366,304,2013-04-11,01:06:01.000,821789,304,304,0x5E10F6AECE06,35036,2,172,12,21,1365656761
1740191188,588516,15571,5038823,391,2013-04-11,01:06:54.000,18533,391,391,0x5E10F6AECE06,35036,2,172,12,21,1365656814
1740191256,588516,15579,5041653,320,2013-04-11,01:06:54.000,818205,320,320,0x5E10F6AECE06,35036,2,172,12,21,1365656814
1740192384,588516,15717,5089938,320,2013-04-11,01:07:08.000,817163,320,320,0x5E10F6AECE06,35036,2,172,12,21,1365656828
1740192418,588516,15720,5091017,320,2013-04-11,01:07:09.000,117447,320,320,0x5E10F6AECE06,35036,2,172,12,21,1365656829
1740193915,588516,15921,5162764,312,2013-04-11,01:07:29.000,415363,312,312,0x5E10F6AECE06,35036,2,172,12,21,1365656849
1740194575,588516,16006,5191879,312,2013-04-11,01:07:39.000,215394,312,312,0x5E10F6AECE06,35036,2,172,12,21,1365656859
1740194613,588516,16010,5193262,312,2013-04-11,01:07:39.000,614998,312,312,0x5E10F6AECE06,35036,2,172,12,21,1365656859
1740196492,588516,16246,5264537,229,2013-04-11,01:12:43.000,807171,229,229,0xCEF8BD0735DA,35036,2,172,12,18,1365657163
1740202368,588516,16970,5483459,281,2013-04-11,01:13:27.000,108904,281,281,0xCEF8BD0735DA,35036,2,172,12,18,1365657207
1740204731,588516,17263,5571589,289,2013-04-11,01:13:39.000,508266,289,289,0xCEF8BD0735DA,35036,2,172,12,18,1365657219
1740212447,588516,18227,5876939,297,2013-04-11,01:14:12.000,806050,297,297,0xCEF8BD0735DA,35036,2,172,12,18,1365657252
1740213682,588516,18382,5929044,368,2013-04-11,01:14:18.000,206406,368,368,0xCEF8BD0735DA,35036,2,172,12,18,1365657258
1740217554,588540,15784,4122171,271,2013-04-11,01:02:42.000,64825,271,271,0xAE9716882F9D,35036,2,172,12,21,1365656562
1740218961,588540,15960,4167390,304,2013-04-11,01:02:52.000,963916,304,304,0xAE9716882F9D,35036,2,172,12,21,1365656572
1740226963,588516,20036,6494650,348,2013-04-11,01:22:42.000,545312,348,348,0x7A8A1DA81889,35036,2,172,12,21,1365657762
1740230501,588516,20475,6650176,304,2013-04-11,01:23:05.000,531705,304,304,0xCEF8BD0735DA,35036,2,172,12,18,1365657785
