MovementId,SPATID,CurrentState,MinTimeremaining,MaxTimeremaining,YellowState,YellowTime,PedestrianDetect,VehiclePedestrianCount,LaneSet
1975330127,1744297889,0x01,296,1110,NULL,0,1,0,NULL
1975330141,1744297922,0x04,84,571,NULL,0,0,0,NULL
1975330146,1744297889,0x01,296,1040,NULL,0,1,0,NULL
1975330153,1744297919,0x04,61,1008,NULL,0,0,0,NULL
1975330164,1744297889,0x01,24,24,NULL,0,1,0,NULL
1975330166,1744297919,0x04,61,722,NULL,0,0,0,NULL
1975330169,1744297922,0x04,84,881,NULL,0,0,0,NULL
1975330181,1744297934,0x01,95,450,0x02,36,0,0,NULL
1975330183,1744297889,0x01,135,385,NULL,0,1,0,NULL
1975330189,1744297919,0x40,61,1201,NULL,0,0,0,NULL
1975330198,1744297922,0x01,28,364,0x02,31,0,0,NULL
1975330209,1744297919,0x40,61,511,NULL,0,0,0,NULL
1975330219,1744297919,0x40,61,1008,NULL,0,0,0,NULL
1975330220,1744297934,0x04,156,1008,NULL,0,0,0,NULL
1975330222,1744297922,0x04,84,84,NULL,0,0,0,NULL
1975330236,1744297922,0x40,84,420,NULL,0,0,0,NULL
1975330238,1744297934,0x04,156,722,NULL,0,0,0,NULL
1975330239,1744297919,0x40,61,722,NULL,0,0,0,NULL
1975330252,1744297934,0x40,156,1201,NULL,0,0,0,NULL
