MovementId,SPATID,CurrentState,MinTimeremaining,MaxTimeremaining,YellowState,YellowTime,PedestrianDetect,VehiclePedestrianCount,LaneSet
2037839006,1786779930,0x40,588,588,NULL,0,0,0,7,2
2037839019,1786779935,0x04,587,747,NULL,0,0,0,3,1
2037839023,1786779930,0x40,588,748,NULL,0,0,0,8,2
2037839033,1786779935,0x04,1201,1201,NULL,0,0,0,4,1
2037839045,1786779930,0x40,1201,1201,NULL,0,0,0,9,2
2037839050,1786779935,0x40,733,957,NULL,0,0,0,6,2
2037839060,1786779930,0x01,734,958,NULL,0,0,0,10,0
2037839065,1786779935,0x40,587,587,NULL,0,0,0,7,2
2037839077,1786779930,0x01,835,1201,NULL,0,0,0,11,0
2037839088,1786779935,0x40,587,747,NULL,0,0,0,8,2
2037839100,1786779930,0x01,1201,1201,NULL,0,0,0,12,0
2037839103,1786779935,0x40,1201,1201,NULL,0,0,0,9,2
2037839120,1786779935,0x01,733,957,NULL,0,0,0,10,0
2037839126,1786779930,0x01,588,748,NULL,0,0,0,13,0
2037839141,1786779935,0x01,834,1201,NULL,0,0,0,11,0
2037839158,1786779935,0x01,1201,1201,NULL,0,0,0,12,0
2037839173,1786779935,0x01,587,747,NULL,0,0,0,13,0
2037839509,1786780060,0x01,513,513,0x02,36,0,0,1,1,5,4
2037839527,1786780060,0x01,513,673,0x02,36,0,0,2,1
