RxDevice,FileId,TxDevice,StartTime,Endtime,Value
82,4373855,82,292726461389716,292726461991751,1
80,4372396,80,292764646448651,292764648060640,255
77,4371103,77,292792577966734,292792582066741,252
84,4375055,84,292760283639099,292760286955110,0
83,4374530,83,292796510695257,292796510695257,55
86,4377135,86,292769637412132,292769637512112,244
82,4373857,82,292730897722063,292730897823063,26
84,4375056,84,292760983930769,292760985033865,0
82,4373861,82,292803026238944,292803026238944,2
73,4367200,73,292757189286916,292757189286916,1
76,4370299,76,292784133735420,292784133835444,253
87,4377916,87,292801316077645,292801316479666,1
71,4365438,71,292791840115247,292791840515172,0
80,4372401,80,292808829232685,292808829433635,251
85,4376274,85,292777510983438,292777515098362,0
83,4374531,83,292797756361921,292797826391956,0
86,4377137,86,292802776943958,292802788922979,0
87,4377913,87,292790612288999,292790620116928,0
70,4364690,70,292783389924725,292783392824803,251
