USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
725374,94889,201304110053,60,7,***,6,OVC,*,*,*,8,**,**,**,**,**,**,**,**,*,41,39,1014.9,29.96,984.1,***,***,0,*****,*****,*****,**
725374,94889,201304110140,***,***,***,6,OVC,*,*,*,10,**,**,**,**,**,**,**,**,*,41,39,******,29.94,983.5,***,***,*****,*****,*****,*****,**
725374,94889,201304110153,***,***,***,6,OVC,*,*,*,10,**,**,**,**,**,**,**,**,*,41,39,1013.9,29.93,983.1,***,***,0,*****,*****,*****,**
725374,94889,201304110244,70,10,***,4,OVC,*,*,*,2.5,**,**,**,**,10,**,**,**,*,39,39,******,29.95,983.8,***,***,*****,*****,*****,*****,**
725374,94889,201304110253,80,9,***,4,OVC,*,*,*,2.5,**,**,**,**,10,**,**,**,*,40,39,1014.9,29.95,983.8,***,***,0,*****,*****,*****,**
725374,94889,201304110313,40,14,***,4,OVC,*,*,*,1.8,**,**,**,**,10,**,**,**,*,39,37,******,29.95,983.8,***,***,*****,*****,*****,*****,**
725374,94889,201304110322,50,8,***,4,OVC,*,*,*,2,**,**,**,**,10,**,**,**,*,39,37,******,29.96,984.1,***,***,*****,*****,*****,*****,**
725374,94889,201304110353,40,10,18,4,OVC,*,*,*,2,**,**,**,**,10,**,**,**,*,40,38,1014.8,29.95,983.8,***,***,0,*****,*****,*****,**
725374,94889,201304110446,70,10,***,4,OVC,*,*,*,3,**,**,**,**,10,**,**,**,*,39,37,******,29.92,982.8,***,***,*****,*****,*****,*****,**
725374,94889,201304110453,70,13,21,4,OVC,*,*,*,3,**,**,**,**,10,**,**,**,*,39,38,1013.3,29.91,982.5,***,***,0,*****,*****,*****,**
725374,94889,201304110459,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,48,***,*****,*****,0.36,*****,**
725374,94889,201304110553,60,11,18,4,OVC,*,*,*,3,**,**,**,**,10,**,**,**,*,39,38,1013.6,29.92,982.8,42,39,0,*****,*****,*****,**
725374,94889,201304110653,90,10,***,4,OVC,*,*,*,4,**,**,**,**,61,10,**,**,*,39,38,1013.6,29.92,982.8,***,***,0.11,*****,*****,*****,**
725374,94889,201304110753,40,8,***,4,OVC,*,*,*,3,**,**,**,**,62,10,**,**,*,40,38,1013.1,29.9,982.2,***,***,0.11,*****,*****,*****,**
725374,94889,201304110802,60,10,***,6,OVC,*,*,*,3,**,**,**,**,63,10,**,**,*,39,37,******,29.89,981.8,***,***,0.06,*****,*****,*****,**
725374,94889,201304110809,50,13,18,6,OVC,*,*,*,2,**,**,**,**,63,10,**,**,*,39,37,******,29.87,981.2,***,***,0.11,*****,*****,*****,**
725374,94889,201304110823,50,11,21,6,OVC,*,*,*,3,**,**,**,**,62,10,**,**,*,39,37,******,29.88,981.5,***,***,0.16,*****,*****,*****,**
725374,94889,201304110833,50,13,18,6,OVC,*,*,*,2.5,**,**,**,**,63,10,**,**,*,39,37,******,29.88,981.5,***,***,0.24,*****,*****,*****,**
725374,94889,201304110843,60,9,***,6,OVC,*,*,*,1.8,**,**,**,**,63,10,**,**,*,39,37,******,29.89,981.8,***,***,0.37,*****,*****,*****,**
