RxDevice,FileId,TxDevice,StartTime,Endtime,Value
62,38722,62,278031838967359,278031869668550,243
62,38725,62,278103833324532,278103891924543,243
62,38725,62,278103892024538,278103943524691,3
62,38725,62,278103943624690,278104021225743,243
62,38725,62,278104021325800,278104089826985,3
62,38725,62,278104089926929,278104109426989,243
62,38725,62,278104109527042,278104135427031,3
62,38725,62,278104135527023,278104137627027,243
62,38725,62,278104137726977,278104163728035,3
62,38725,62,278104163828039,278104185128100,243
62,38725,62,278104185228144,278104185928105,3
62,38725,62,278104186028092,278104187328156,243
62,38725,62,278104187428094,278104248529152,3
62,38725,62,278104248629156,278104249529157,243
62,38725,62,278104249629153,278104251629159,3
62,38725,62,278104251729168,278104277629277,243
62,38725,62,278104277729227,278104370530439,3
62,38725,62,278104370630429,278104423931567,243
63,38863,63,276175624669526,276175634372867,243
