RxDevice,FileId,TxDevice,Gentime,CertId,TxRandom,FrameOffset,FrameSize,BsmPIRelOffset,BsmPIIRelOffset,BsmPIIIRelOffset,GenTimeRelOffset,PsIdByte
10106,245,10106,291944224965132,-5098246422453840785,2580,116281,316,70,110,110,242,32
10106,245,10106,291944225065274,-5098246422453840785,2580,116617,316,70,110,110,242,32
10106,245,10106,291944225164992,-5098246422453840785,2580,116953,316,70,110,110,242,32
10106,245,10106,291944225265250,-5098246422453840785,2580,117289,316,70,110,110,242,32
10106,245,10106,291944225365148,5583823804118366699,2580,117625,387,141,181,181,313,32
10106,245,10106,291944225465138,-5098246422453840785,2580,118032,317,70,110,110,243,32
10106,245,10106,291944225565161,-5098246422453840785,2580,118369,316,70,110,110,242,32
10106,245,10106,291944225665094,-5098246422453840785,2580,118705,324,70,110,110,250,32
10106,245,10106,291944225764988,-5098246422453840785,2580,119049,324,70,110,110,250,32
10106,245,10106,291944225865157,5583823804118366699,2580,119393,395,141,181,181,321,32
10106,245,10106,291944225964849,-5098246422453840785,2580,119808,324,70,110,110,250,32
10106,245,10106,291944226064975,-5098246422453840785,2580,120152,324,70,110,110,250,32
10106,245,10106,291944226164850,-5098246422453840785,2580,120496,324,70,110,110,250,32
10106,245,10106,291944226265143,-5098246422453840785,2580,120840,324,70,110,110,250,32
10106,245,10106,291944226366199,5583823804118366699,2580,121184,395,141,181,181,321,32
10106,245,10106,291944226464844,-5098246422453840785,2580,121599,324,70,110,110,250,32
10106,245,10106,291944226565172,-5098246422453840785,2580,121943,324,70,110,110,250,32
10106,245,10106,291944226665141,-5098246422453840785,2580,122287,324,70,110,110,250,32
10106,245,10106,291944226765339,-5098246422453840785,2580,122631,324,70,110,110,250,32
