Device,Trip,Time,TargetId,ObstacleId,Range,Rangerate,Transversal,TargetType,Status,CIPV
10205,235,0,1,0,67.645844,-0.4652786,-0.36805561,0,3,1
10205,235,10,1,0,67.597221,-0.36804959,-0.38194439,0,3,1
10205,235,20,1,0,67.569443,-0.30556491,-0.39583331,0,3,1
10205,235,30,1,0,67.555557,-0.25,-0.40972221,0,3,1
10205,235,40,1,0,67.513893,-0.25,-0.41666669,0,3,1
10205,235,50,1,0,67.5,-0.2500076,-0.4236111,0,3,1
10205,235,60,1,0,67.472221,-0.1041565,-0.4236111,0,3,1
10205,235,70,1,0,67.451393,0.1111221,-0.4236111,0,3,1
10205,235,80,1,0,67.486107,0.347229,-0.41666669,0,3,1
10205,235,90,1,0,67.548607,0.4722214,-0.40972221,0,3,1
10205,235,100,1,0,67.597221,0.33332819,-0.40277779,0,3,1
10205,235,110,1,0,67.631943,0.1388931,-0.3888889,0,3,1
10205,235,120,1,0,67.611107,-2.0828251E-2,-0.375,0,3,1
10205,235,130,1,0,67.611107,-5.5549622E-2,-0.3611111,0,3,1
10205,235,140,1,0,67.597221,0.1110992,-0.34722221,0,3,1
10205,235,150,1,0,67.611107,0.1110992,-0.33333331,0,3,1
10205,235,160,1,0,67.666656,2.0828251E-2,-0.31944439,0,3,1
10205,235,170,1,0,67.631943,-0.1666718,-0.2986111,0,3,1
10205,235,180,1,0,67.597221,-0.3888855,-0.27777779,0,3,1
