RxDevice,FileId,TxDevice,StartTime,Endtime,Value
40,29658,40,276263942358718,276263942358718,9
40,29815,40,277646339644499,277646339644499,1
42,30533,42,276387810251430,276387810251430,0
42,30562,42,276732800476454,276732800676388,0
43,31280,43,278370625092116,278370625092116,0
44,31661,44,276471407295884,276471407295884,8
44,31661,44,276471452296586,276471452296586,0
45,959072,45,278122825083890,278122825083890,1
46,32645,46,278164531812224,278164531812224,1
47,32955,47,276791041991881,276791041991881,0
60,37608,60,276662046858748,276662062259733,5
60,37608,60,276662062359732,276662250561472,1
60,37608,60,276662250661479,276662257661537,5
60,37608,60,276662257761470,276662340062349,1
60,37608,60,276662340162336,276662349962280,9
60,37608,60,276662350062332,276662481964263,1
60,37608,60,276662482064269,276662507964142,5
60,37608,60,276662508071135,276662867868655,1
60,37608,60,276662867968652,276662873568645,5
