LaneId,GeometryId,LaneNumber,LaneTypeId,LaneAttributes,Width,ReferenceLaneNumber,LateralOffset,NodeAttributes,ManeuverCode
1,13,1,1,0x00E2,335,0,0,0,
2,4,1,1,0x00E2,335,0,0,0,
3,12,1,1,0x00E2,335,0,0,0,
4,16,1,1,0x00E2,335,0,0,0,
5,1,1,1,0x00E2,335,0,0,0,
6,6,1,1,0x00E2,335,0,0,0,
7,14,1,1,0x00E2,335,0,0,0,
8,15,1,1,0x00E2,335,0,0,0,
9,5,1,1,0x00E2,335,0,0,0,
10,11,1,1,0x00E2,335,0,0,0,
11,20,1,1,0x00E2,335,0,0,0,
12,10,1,1,0x00E2,335,0,0,0,
13,7,1,1,0x00E2,335,0,0,0,
14,9,1,1,0x00E2,335,0,0,0,
15,18,1,1,0x00E2,335,0,0,0,
16,2,1,1,0x00E2,335,0,0,0,
17,17,1,1,0x00E2,335,0,0,0,
18,8,1,1,0x00E2,335,0,0,0,
19,19,1,1,0x00E2,335,0,0,0,
