RxDevice,FileId,TxDevice,StartTime,Endtime,Value
40,29651,40,276185412443679,276185412443679,1
40,29869,40,278168331832089,278168331832089,1
40,29930,40,278773495525459,278773495525459,1
42,30558,42,276718580235564,276718580235564,1
42,30622,42,277710157491883,277710157491883,1
60,37641,60,277246194316373,277246195916366,1
60,37641,60,277246196016374,277246196616367,3
60,37641,60,277246196716435,277246198816361,1
60,37641,60,277246198916416,277246199521259,3
60,37641,60,277246199616358,277246202717329,1
60,37641,60,277246202817329,277246203317333,3
60,37641,60,277246203417326,277246206817314,1
60,37641,60,277246206917320,277246207517312,3
60,37641,60,277246207617317,277246213817282,1
60,37641,60,277246213917286,277246214517288,3
60,37641,60,277246214617280,277246215917277,1
60,37641,60,277246216017279,277246216617278,3
60,37641,60,277246216717276,277246218117275,1
60,37641,60,277246218217321,277246218817278,3
