TJ_Tag,ID,Device_1,Trip_1,Device_2,Trip_2,StartTime_1,EndTime_1,StartTime_2,EndTime_2
1,7,91,37,90,15,18450,79050,19910,80510
2,7,91,37,90,15,87350,116050,88810,117510
3,7,91,37,90,15,126750,128050,128210,129510
4,7,91,37,90,15,145050,146250,146510,147710
5,7,91,37,90,15,153650,154650,155110,156110
6,7,91,37,90,15,173750,174850,175210,176310
7,23,91,53,90,21,214170,215570,563790,565190
8,23,91,53,90,21,220170,221570,569790,571190
9,23,91,53,90,21,226070,229570,575690,579190
10,23,91,53,90,21,232370,233670,581990,583290
11,23,91,53,90,21,237770,239070,587390,588690
12,23,91,53,90,21,241770,243170,591390,592790
13,23,91,53,90,21,246570,247770,596190,597390
14,23,91,53,90,21,250970,252270,600590,601890
15,27,92,2,91,3,220990,222290,1750,3050
16,27,92,2,91,3,225890,227090,6650,7850
17,27,92,2,91,3,229890,231190,10650,11950
18,27,92,2,91,3,238690,239890,19450,20650
19,27,92,2,91,3,245490,246690,26250,27450
20,27,92,2,91,3,251190,252390,31950,33150
21,27,92,2,91,3,257690,258890,38450,39650
22,27,92,2,91,3,262290,263490,43050,44250
23,27,92,2,91,3,266090,267390,46850,48150
24,27,92,2,91,3,269890,273390,50650,54150
25,27,92,2,91,3,285590,306690,66350,87450
26,28,92,3,91,4,160470,162070,49460,51060
27,64,92,33,90,15,190,25390,26370,51570
28,64,92,33,90,15,26290,26890,52470,53070
29,64,92,33,90,15,28690,29690,54870,55870
30,64,92,33,90,15,107690,108590,133870,134770
31,64,92,33,90,15,125090,125990,151270,152170
32,64,92,33,90,15,143590,144490,169770,170670
33,64,92,33,90,15,151490,152390,177670,178570
34,68,92,33,91,37,17340,24640,42050,49350
35,68,92,33,91,37,25440,26040,50150,50750
36,68,92,33,91,37,28440,29440,53150,54150
37,68,92,33,91,37,105340,105840,130050,130550
38,68,92,33,91,37,122140,123740,146850,148450
39,68,92,33,91,37,132440,135640,157150,160350
40,68,92,33,91,37,141540,142440,166250,167150
41,68,92,33,91,37,150840,151440,175550,176150
42,84,92,38,91,45,25940,28440,133140,135640
43,84,92,38,91,45,31840,32640,139040,139840
44,84,92,38,91,45,37340,38040,144540,145240
45,84,92,38,91,45,42040,42640,149240,149840
46,84,92,38,91,45,48840,49540,156040,156740
47,84,92,38,91,45,52340,53340,159540,160540
48,84,92,38,91,45,55340,60140,162540,167340
49,84,92,38,91,45,63940,65440,171140,172640
50,84,92,38,91,45,70040,74540,177240,181740
51,84,92,38,91,45,76440,79040,183640,186240
52,84,92,38,91,45,81040,90140,188240,197340
53,84,92,38,91,45,92940,98440,200140,205640
54,84,92,38,91,45,100240,107240,207440,214440
55,84,92,38,91,45,109540,110540,216740,217740
56,84,92,38,91,45,112440,113740,219640,220940
57,84,92,38,91,45,120940,121640,228140,228840
58,87,92,38,91,53,563640,566140,226470,228970
59,87,92,38,91,53,568140,569440,230970,232270
60,87,92,38,91,53,575140,576540,237970,239370
61,87,92,38,91,53,580740,582040,243570,244870
62,87,92,38,91,53,593040,593740,255870,256570
63,2734,551,109,501,836,23010,28710,139130,144830
64,2772,551,112,91,37,7480,15980,42350,50850
65,3095,551,315,502,112,123560,125460,60910,62810
66,3458,551,482,502,137,74000,79100,42640,47740
67,3458,551,482,502,137,81600,82800,50240,51440
68,3458,551,482,502,137,86400,87500,55040,56140
69,3499,551,498,502,322,72320,73120,101840,102640
70,3499,551,498,502,322,77520,81420,107040,110940
71,3726,551,546,502,780,318010,320610,52940,55540
72,5317,552,221,502,970,293680,298980,131420,136720
73,6460,552,435,551,543,10160,115460,24400,129700
74,6488,552,437,502,780,325100,327700,53040,55640
75,6518,552,438,551,109,249590,250090,47010,47510
76,6518,552,438,551,109,255090,255290,52510,52710
77,6518,552,438,551,109,284490,285090,81910,82510
78,6518,552,438,551,109,290090,290390,87510,87810
79,6518,552,438,551,109,292590,304490,90010,101910
80,6904,552,519,502,228,189690,190390,40930,41630
81,9454,3268,10,501,304,167450,168050,35060,35660
82,9710,3268,41,92,22,286060,289560,84600,88100
83,10319,10002,120,551,109,196750,197150,46610,47010
84,10319,10002,120,551,109,202250,202450,52110,52310
85,10319,10002,120,551,109,231750,232450,81610,82310
86,10319,10002,120,551,109,237150,237550,87010,87410
87,10319,10002,120,551,109,241450,253550,91310,103410
88,14305,10004,91,91,13,321850,347550,30410,56110
89,14305,10004,91,91,13,358250,360450,66810,69010
90,15018,10007,29,551,532,210,8910,88020,96720
91,15599,10106,68,502,130,90610,90910,108600,108900
92,15599,10106,68,502,130,92210,97510,110200,115500
93,16140,10106,141,551,657,67880,68580,75900,76600
94,18358,10106,462,502,772,48210,50310,104330,106430
95,20152,10106,628,502,769,47010,48110,113180,114280
96,21737,10106,897,10005,29,51560,51660,28290,28390
97,27810,10106,2020,502,887,151640,152340,62910,63610
98,30288,10106,2496,502,307,21640,21940,41610,41910
99,37214,10106,3089,552,302,5230,6130,45400,46300
100,44429,10106,4140,502,873,51820,52620,42550,43350
101,45308,10106,4377,501,671,650,5350,97610,102310
102,46474,10106,4738,10007,32,142630,143130,106410,106910
103,50910,10107,47,502,780,220,5120,63690,68590
104,51107,10107,72,10106,4738,151660,151860,151820,152020
105,51358,10115,11,10106,218,7400,13200,42280,48080
106,51358,10115,11,10106,218,18500,19700,53380,54580
107,56838,10115,400,10106,1544,103490,104290,43720,44520
108,58224,10116,1,501,121,210,910,105730,106430
109,59176,10116,107,10106,2733,78610,81010,114970,117370
110,59720,10116,142,10106,4385,81160,81760,44030,44630
111,66110,10116,191,10106,1263,26160,26560,137650,138050
112,69135,10116,521,10106,4385,77470,78870,47630,49030
113,76759,10116,873,10005,39,3810,4710,82020,82920
114,88223,10116,1509,10106,1512,22220,22820,49420,50020
115,93477,10116,1611,10106,2124,70180,71080,2540,3440
116,93477,10116,1611,10106,2124,80880,82080,13240,14440
117,97983,10118,1,551,784,1220,2320,217700,218800
118,97983,10118,1,551,784,2720,8020,219200,224500
119,97984,10118,1,551,772,420,1420,230000,231000
120,97984,10118,1,551,772,2120,7920,231700,237500
121,98323,10118,19,3268,88,39140,39540,241330,241730
122,98999,10118,48,3268,10,55430,56230,98490,99290
123,99250,10118,59,3268,23,45930,46630,99690,100390
124,103743,10118,182,501,244,150810,151310,50410,50910
125,103963,10118,191,3268,10,50830,51530,125610,126310
126,104032,10118,193,552,560,51310,54210,3410,6310
127,104849,10118,242,3268,23,63920,65220,87870,89170
128,105169,10118,258,3268,34,112600,113200,35400,36000
129,105268,10118,268,501,296,169750,170950,78610,79810
130,105278,10118,268,3268,10,57150,58050,120730,121630
131,106940,10118,401,10106,3556,26190,26390,161230,161430
132,109646,10118,555,502,967,43840,49140,194130,199430
133,113107,10118,691,10004,110,8690,9690,4800,5800
134,114353,10118,738,501,804,14530,15530,88230,89230
135,114440,10118,745,10115,37,59430,61930,7910,10410
136,118630,10118,758,10106,247,170340,171040,33530,34230
137,118775,10118,763,502,195,38170,38570,22980,23380
138,121875,10118,872,10106,3983,6640,7740,11080,12180
139,121957,10118,878,552,490,81730,82330,120220,120820
140,121957,10118,878,552,490,83530,88130,122020,126620
141,123532,10118,930,10116,714,34770,35370,34820,35420
142,123534,10118,930,10116,1259,32070,32570,33410,33910
143,124178,10118,951,10106,1001,48200,48800,64430,65030
144,126100,10118,1046,551,482,13500,14800,95720,97020
145,126100,10118,1046,551,482,23800,27500,106020,109720
146,134124,10118,1091,10106,5412,7830,8430,25880,26480
147,135937,10118,1178,10106,3486,97670,102070,73810,78210
148,135937,10118,1178,10106,3486,168570,168970,144710,145110
149,141851,10118,1447,10106,3678,27120,27620,28500,29000
150,141979,10118,1452,10106,3733,25560,27960,1320,3720
151,144866,10118,1569,10116,393,46800,47000,214320,214520
152,146243,10118,1637,10116,1069,21530,22030,89840,90340
153,146807,10118,1653,10106,3021,29530,30130,66840,67440
154,146812,10118,1653,10106,2500,27730,28930,62470,63670
155,148729,10118,1736,10116,6,24540,27540,7310,10310
156,150442,10118,1809,10106,3678,32900,33700,29520,30320
157,151016,10118,1832,551,728,47520,48320,176360,177160
158,151017,10118,1832,551,318,44820,45220,107220,107620
159,156649,10118,1968,10106,4505,48370,49370,16020,17020
160,164780,10120,261,552,362,42050,42250,32420,32620
161,172324,10120,417,552,1020,214790,216390,1470,3070
162,184971,10120,561,10116,1693,68920,69620,15710,16410
163,184971,10120,561,10116,1693,72020,73020,18810,19810
164,185545,10120,583,502,970,76630,77030,86660,87060
